query_id,dificultad,acierto,pos_relevante
0,easy,1,1.0
1,medium,1,3.0
2,hard,1,4.0
3,easy,1,2.0
4,medium,1,1.0
5,hard,0,
6,easy,1,1.0
7,medium,1,1.0
8,hard,1,3.0
9,easy,1,1.0
10,medium,1,1.0
11,hard,1,1.0
12,easy,0,
13,medium,1,2.0
14,hard,1,1.0
15,easy,1,1.0
16,medium,1,1.0
17,hard,1,2.0
18,easy,1,1.0
19,medium,1,1.0
20,hard,1,1.0
21,easy,0,
22,medium,1,1.0
23,hard,1,2.0
24,easy,1,2.0
25,medium,1,2.0
26,hard,0,
27,easy,1,2.0
28,medium,0,
29,hard,0,
30,easy,1,1.0
31,medium,1,1.0
32,hard,1,1.0
33,easy,1,1.0
34,medium,1,5.0
35,hard,1,1.0
36,easy,1,1.0
37,medium,1,3.0
38,hard,1,1.0
39,easy,1,1.0
40,medium,1,6.0
41,hard,1,1.0
42,easy,0,
43,medium,1,2.0
44,hard,1,1.0
45,easy,0,
46,medium,0,
47,hard,0,
48,easy,0,
49,medium,0,
50,hard,1,5.0
51,easy,1,1.0
52,medium,1,1.0
53,hard,1,1.0
54,easy,1,1.0
55,medium,1,2.0
56,hard,1,1.0
57,easy,1,2.0
58,medium,0,
59,hard,1,9.0
60,easy,1,2.0
61,medium,0,
62,hard,1,9.0
63,easy,1,1.0
64,medium,1,1.0
65,hard,1,2.0
66,easy,1,1.0
67,medium,0,
68,hard,1,9.0
69,easy,1,1.0
70,medium,0,
71,hard,1,4.0
72,easy,0,
73,medium,1,10.0
74,hard,1,3.0
75,easy,1,2.0
76,medium,1,4.0
77,hard,1,4.0
78,easy,0,
79,medium,1,2.0
80,hard,0,
81,easy,1,2.0
82,medium,1,5.0
83,hard,0,
84,easy,1,1.0
85,medium,1,3.0
86,,0,
87,easy,0,
88,medium,0,
89,hard,0,
90,easy,1,6.0
91,medium,0,
92,hard,1,1.0
93,easy,1,7.0
94,medium,0,
95,hard,0,
96,easy,1,1.0
97,medium,1,1.0
98,hard,1,1.0
99,easy,1,1.0
100,medium,1,4.0
101,hard,1,3.0
102,easy,1,4.0
103,medium,1,1.0
104,hard,0,
105,easy,0,
106,medium,1,2.0
107,hard,0,
108,easy,1,3.0
109,medium,1,1.0
110,hard,1,1.0
111,easy,1,1.0
112,medium,1,1.0
113,hard,1,1.0
114,easy,1,5.0
115,medium,1,1.0
116,hard,1,1.0
117,easy,1,4.0
118,medium,0,
119,hard,0,
120,easy,1,1.0
121,medium,1,2.0
122,hard,1,1.0
123,easy,1,1.0
124,medium,1,3.0
125,hard,1,1.0
126,easy,1,1.0
127,medium,1,3.0
128,hard,1,1.0
129,easy,1,1.0
130,medium,0,
131,hard,0,
132,easy,0,
133,medium,1,1.0
134,hard,1,2.0
135,easy,0,
136,medium,1,2.0
137,hard,1,2.0
138,easy,1,1.0
139,medium,1,5.0
140,hard,1,1.0
141,easy,0,
142,medium,1,2.0
143,hard,1,6.0
144,easy,1,2.0
145,medium,1,2.0
146,hard,1,1.0
147,easy,1,1.0
148,medium,1,2.0
149,hard,1,1.0
